codigo_modulo,nome_modulo,tipo_modulo,latencia_estimada_ms,latencia_observada_ms,tensao_V,corrente_A,potencia_W,status,prioridade,codigo_sensor,mensagem_alerta,data_registro
HAB-01,Sala de Controle Residencial,Habitação,39,40.99,12.0,1.27,15.24,Normal,1,0xA100,Comunicação dentro do limite,2026-09-01 08:00
AGR-01,Estufa Hidropônica,Agricultura,59,62.03,24.0,1.53,36.72,Normal,2,0xA111,Comunicação dentro do limite,2026-09-01 11:00
COM-01,Antena Norte,Comunicação,65,61.52,12.0,1.72,20.64,Normal,3,0xA122,Comunicação dentro do limite,2026-09-01 14:00
LAB-01,Laboratório de Análises,Laboratório,52,51.22,23.8,1.02,24.28,Normal,2,0xA133,Comunicação dentro do limite,2026-09-01 17:00
MED-01,Posto Médico,Suporte médico,31,37.42,12.0,0.96,11.52,Normal,1,0xA144,Comunicação dentro do limite,2026-09-01 20:00
ARM-01,Banco de Dados,Armazenamento,63,72.92,24.0,1.88,45.12,Atenção,2,0xA155,Latência acima do previsto,2026-09-01 23:00
COM-02,Antena Sul,Comunicação,75,67.72,24.2,2.29,55.42,Normal,4,0xA166,Comunicação dentro do limite,2026-09-02 02:00
AGR-02,Estufa Experimental,Agricultura,53,52.17,12.0,1.42,17.04,Normal,2,0xA177,Comunicação dentro do limite,2026-09-02 05:00
HAB-01,Sala de Controle Residencial,Habitação,47,51.36,12.2,1.22,14.88,Normal,2,0xA188,Comunicação dentro do limite,2026-09-02 08:00
AGR-01,Estufa Hidropônica,Agricultura,55,58.22,24.0,1.61,38.64,Normal,3,0xA199,Comunicação dentro do limite,2026-09-02 11:00
COM-01,Antena Norte,Comunicação,70,93.16,12.2,1.79,21.84,Alerta,4,0xA1AA,Latência acima do previsto,2026-09-02 14:00
LAB-01,Laboratório de Análises,Laboratório,48,52.0,24.0,1.13,27.12,Normal,1,0xA1BB,Comunicação dentro do limite,2026-09-02 17:00
MED-01,Posto Médico,Suporte médico,34,40.25,12.0,0.89,10.68,Normal,1,0xA1CC,Comunicação dentro do limite,2026-09-02 20:00
ARM-01,Banco de Dados,Armazenamento,61,60.64,24.2,2.1,50.82,Normal,3,0xA1DD,Comunicação dentro do limite,2026-09-02 23:00
COM-02,Antena Sul,Comunicação,73,83.49,24.0,2.29,54.96,Atenção,3,0xA1EE,Latência acima do previsto,2026-09-03 02:00
AGR-02,Estufa Experimental,Agricultura,56,61.17,12.2,1.31,15.98,Normal,2,0xA1FF,Comunicação dentro do limite,2026-09-03 05:00
HAB-01,Sala de Controle Residencial,Habitação,45,42.91,12.0,1.13,13.56,Normal,1,0xA210,Comunicação dentro do limite,2026-09-03 08:00
AGR-01,Estufa Hidropônica,Agricultura,60,60.43,23.8,1.62,38.56,Normal,2,0xA221,Comunicação dentro do limite,2026-09-03 11:00
COM-01,Antena Norte,Comunicação,67,71.24,12.0,1.8,21.6,Normal,3,0xA232,Comunicação dentro do limite,2026-09-03 14:00
LAB-01,Laboratório de Análises,Laboratório,46,47.36,23.8,1.13,26.89,Normal,1,0xA243,Comunicação dentro do limite,2026-09-03 17:00
MED-01,Posto Médico,Suporte médico,40,41.19,11.8,0.91,10.74,Normal,1,0xA254,Comunicação dentro do limite,2026-09-03 20:00
ARM-01,Banco de Dados,Armazenamento,59,60.13,24.2,2.08,50.34,Normal,2,0xA265,Comunicação dentro do limite,2026-09-03 23:00
